Name,TimeStamp
Ardle,0:01:51.611500
Ardle,0:01:51.778333
Ardle,0:01:51.945167
Ardle,0:01:52.112000
Ardle,0:01:52.278833
Ardle,0:01:52.445667
Ardle,0:01:52.612500
Ardle,0:01:52.779333
Ardle,0:01:52.946167
Ardle,0:01:53.113000
Ardle,0:01:53.279833
Ardle,0:01:53.446667
Miss,0:01:53.613500
Miss,0:01:53.780333
Miss,0:01:53.947167
Miss,0:01:54.114000
Miss,0:01:54.280833
Miss,0:01:54.447667
Miss,0:01:54.614500
Miss,0:01:54.781333
Miss,0:01:54.948167
Miss,0:01:55.115000
Miss,0:01:55.281833
Miss,0:01:55.448667
Miss,0:01:55.615500
Miss,0:01:55.782333
Miss,0:01:55.949167
Miss,0:01:58.952167
Miss,0:01:59.119000
Miss,0:01:59.285833
Miss,0:01:59.452667
Miss,0:01:59.619500
Miss,0:01:59.786333
Miss,0:01:59.953167
Miss,0:02:00.120000
Miss,0:02:00.286833
Miss,0:02:00.453667
Miss,0:02:00.620500
Miss,0:02:00.787333
Miss,0:02:00.954167
Miss,0:02:01.121000
Miss,0:02:01.287833
Miss,0:02:01.454667
Miss,0:02:01.621500
Miss,0:02:01.788333
Miss,0:02:01.955167
Miss,0:02:02.122000
Miss,0:02:02.288833
Miss,0:02:02.455667
Miss,0:02:02.622500
Miss,0:02:02.789333
Miss,0:02:02.956167
Miss,0:02:03.123000
Miss,0:02:03.289833
Miss,0:02:03.456667
Miss,0:02:03.623500
Ardle,0:02:04.958167
Ardle,0:02:05.125000
Ardle,0:02:05.291833
Ardle,0:02:05.458667
Ardle,0:02:05.625500
Ardle,0:02:05.792333
Ardle,0:02:05.959167
Ardle,0:02:06.126000
Ardle,0:02:06.292833
Ardle,0:02:06.459667
Ardle,0:02:06.626500
Ardle,0:02:06.793333
Ardle,0:02:06.960167
Ardle,0:02:07.127000
Ardle,0:02:07.293833
Ardle,0:02:07.460667
Ardle,0:02:07.627500
Ardle,0:02:07.794333
Ardle,0:02:08.461667
Ardle,0:02:16.803333
Ardle,0:02:16.970167
Ardle,0:02:17.137000
Ardle,0:02:17.470667
Ardle,0:02:17.637500
Ardle,0:02:17.804333
Ardle,0:02:18.304833
Ardle,0:02:18.471667
Ardle,0:02:18.638500
Ardle,0:02:18.805333
Ardle,0:02:19.139000
Ardle,0:02:19.305833
Ardle,0:02:19.472667
Ardle,0:02:19.639500
Ardle,0:02:19.806333
Ardle,0:02:19.973167
Ardle,0:02:20.140000
Ardle,0:02:20.306833
Ardle,0:02:20.473667
Ardle,0:02:20.640500
Ardle,0:02:20.807333
Ardle,0:02:21.141000
Mom,0:02:27.981167
Mom,0:02:28.148000
Mom,0:02:28.314833
Mom,0:02:28.481667
Ardle,0:02:28.648500
Ardle,0:02:28.815333
Ardle,0:02:28.982167
Ardle,0:02:29.149000
Ardle,0:02:29.315833
Ardle,0:02:29.482667
Ardle,0:02:29.649500
Dad,0:02:29.816333
Dad,0:02:29.983167
Dad,0:02:30.150000
Dad,0:02:30.316833
Dad,0:02:30.483667
Dad,0:02:30.650500
Dad,0:02:30.817333
Dad,0:02:30.984167
Dad,0:02:31.151000
Dad,0:02:31.317833
Dad,0:02:31.484667
Dad,0:02:31.651500
Dad,0:02:31.818333
Dad,0:02:31.985167
Dad,0:02:32.152000
Dad,0:02:32.318833
Dad,0:02:32.485667
Dad,0:02:32.652500
Dad,0:02:32.819333
Dad,0:02:32.986167
Dad,0:02:33.153000
Dad,0:02:33.319833
Dad,0:02:33.486667
Dad,0:02:33.653500
Dad,0:02:33.820333
Dad,0:02:33.987167
Dad,0:02:34.154000
Dad,0:02:34.320833
Dad,0:02:34.487667
Dad,0:02:34.654500
Dad,0:02:34.821333
Dad,0:02:34.988167
Dad,0:02:35.155000
Dad,0:02:35.321833
Ardle,0:02:35.488667
Ardle,0:02:35.655500
Ardle,0:02:35.822333
Ardle,0:02:35.989167
Ardle,0:02:36.156000
Ardle,0:02:36.322833
Ardle,0:02:36.489667
Ardle,0:02:36.656500
